id,escolas_postos,bairro,endereco,lat,lon,subprefeitura,quantidade
178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL SEM NUMERO,-22.88089,-43.22533,CENTRO,20.0
606,EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ 4406,-22.99412,-43.59368,ZONA OESTE,521.0
215,E.M. NARCISA AMALIA,ILHA DE GUARATIBA,"ESTRADA TEODORETO DE CAMARGO, SEM NUMERO",-23.00908,-43.53758,ZONA OESTE,
301,EM JONATAS SERRANO,GUARATIBA,"ESTRADA DO MATO ALTO, SEM NUMERO",-22.95316,-43.57741,ZONA OESTE,335.0
474,EM ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.183,-22.98046,-43.64355,ZONA OESTE,320.0
210,EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA 643,-23.00142,-43.63876,ZONA OESTE,570.0
289,EM BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI 2075,-22.97906,-43.67058,ZONA OESTE,329.0
515,CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"ESTRADA DA PEDRA, SEM NUMERO",-22.97451,-43.64817,ZONA OESTE,341.0
68,EM WALQUIR PEREIRA,NOVA SEPETIBA,"ESTRADA DE SEPETIBA SEM NUMERO, BLOCO 1",-22.95601,-43.68675,,135.0
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,"AVENIDA CANAL 3 SEM NUMERO, CONJ. CESARAO",-22.93011,-43.6529,ZONA OESTE,
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,"AVENIDA MARIO PEREIRA DOS SANTOS, SEM NUMERO",-22.87319,-43.62773,ZONA OESTE,517.0
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,"RUA EUDALDO GOMES DA SILVA, SEM NUMERO, CONJ URUCANIA",-22.91403,-43.65344,ZONA OESTE,579.0
311,EM PESTALOZZI,SANTA CRUZ,"RUA SEVERIANO DAS CHAGAS, SEM NUMERO",-22.91572,-43.67975,ZONA OESTE,162.0
